Index,PointerPosX,PointerPosY,PointerPosZ
0,-0.9733652,2.108192,0.6496387
1,-0.9744171,2.106366,0.648823
2,-0.9752148,2.105461,0.648283
3,-0.9887245,2.096936,0.6919026
4,-0.9941502,2.09085,0.7004809
5,-0.994895,2.091243,0.7015827
6,-0.9891365,2.089358,0.693871
7,-0.9867254,2.083434,0.687521
8,-0.9756445,2.083691,0.6478629
9,-0.9756711,2.082579,0.6477313
10,-0.9721535,2.074212,0.6476321
11,-0.971222,2.062176,0.6490564
12,-0.9699298,2.055579,0.6508176
13,-0.9697453,2.053244,0.6510708
14,-0.9694183,2.039876,0.6531246
15,-0.967957,2.028031,0.6555467
16,-0.9688329,2.016067,0.6576819
17,-0.9675931,2.013794,0.6582561
18,-0.9695885,1.993416,0.6594079
19,-0.9737898,1.972702,0.6552005
20,-0.9791398,1.953995,0.6570807
21,-0.9799999,1.94598,0.6596684
22,-0.9778663,1.934582,0.6646762
23,-0.9884286,1.915429,0.6716175
24,-0.9926356,1.890593,0.6872239
25,-0.9925638,1.884093,0.6938858
26,-0.9932675,1.874327,0.6970203
27,-0.9941062,1.858572,0.7020411
28,-0.9927665,1.850973,0.7043121
29,-0.9930185,1.829427,0.7052069
30,-0.9957424,1.824652,0.7041559
31,-1.001554,1.802362,0.7001696
32,-1.001647,1.793108,0.7000608
33,-0.9960279,1.787419,0.7015438
34,-1.002974,1.781521,0.7028403
35,-0.9995294,1.775948,0.7014322
36,-0.9982919,1.777091,0.7012129
37,-1.002982,1.768973,0.7024345
38,-1.010069,1.744569,0.7083724
39,-1.014631,1.731423,0.7103572
40,-1.013938,1.722808,0.7091787
41,-1.016555,1.710384,0.707906
42,-1.017905,1.703811,0.7052948
43,-1.020229,1.671541,0.7107353
44,-1.021971,1.659153,0.7164969
45,-1.026573,1.625888,0.7082131
46,-1.028678,1.614488,0.7146792
47,-1.024255,1.61519,0.7152238
48,-1.024838,1.611197,0.7180295
49,-1.026219,1.585427,0.7359216
50,-1.027772,1.573394,0.7393303
51,-1.028015,1.554067,0.7409801
52,-1.032403,1.536891,0.7527373
53,-1.033774,1.534523,0.7540488
54,-1.035391,1.524375,0.7575035
55,-1.032954,1.508248,0.7597337
56,-1.032629,1.493269,0.7614131
57,-1.036695,1.477591,0.7669244
58,-1.036075,1.466878,0.7648747
59,-1.0383,1.453291,0.7662752
60,-1.035118,1.447898,0.7661307
61,-1.033516,1.438928,0.7642021
62,-1.03368,1.431207,0.761435
63,-1.033932,1.423451,0.7632811
64,-1.031452,1.411392,0.7654667
65,-1.026947,1.40552,0.7672634
66,-1.022634,1.395859,0.7677758
67,-1.021648,1.380669,0.7668908
68,-1.02042,1.372299,0.7670836
69,-1.01697,1.363636,0.7711244
70,-1.014177,1.352845,0.7750154
71,-1.016508,1.342619,0.7798257
72,-1.01557,1.334745,0.7850988
73,-1.011392,1.320206,0.7911239
74,-1.007528,1.290398,0.804949
75,-1.005131,1.28248,0.8071349
76,-1.002454,1.272854,0.8094759
77,-1.002535,1.267941,0.8099263
78,-1.001307,1.256557,0.8150544
79,-1.001029,1.248661,0.8175352
80,-0.996751,1.242692,0.820488
81,-0.9967954,1.238859,0.8214116
82,-0.9961165,1.231351,0.8306568
83,-0.9967026,1.226871,0.8367326
84,-0.9952573,1.220973,0.8470895
85,-0.9945536,1.21774,0.8538866
86,-0.995141,1.213334,0.8565087
87,-0.9993233,1.209644,0.8738244
88,-1.002764,1.208721,0.884634
89,-1.005614,1.208043,0.8859735
90,-1.007179,1.210175,0.8966384
91,-1.008737,1.206469,0.9066513
92,-1.02001,1.210358,0.9298489
93,-1.018134,1.209677,0.932409
94,-1.027915,1.213528,0.9581118
95,-1.027566,1.210179,0.9678993
96,-1.027816,1.209282,0.9707539
97,-1.025837,1.209009,0.9726317
98,-1.028381,1.207152,0.9811647
99,-1.032129,1.203969,0.9961448
100,-1.037092,1.201612,1.001785
101,-1.037348,1.199959,1.006686
102,-1.042032,1.196568,1.014325
103,-1.040327,1.195854,1.020318
