Index,PointerPosX,PointerPosY,PointerPosZ
0,-1.029008,2.230494,0.6279502
1,-1.027211,2.197784,0.6713572
2,-1.021653,2.159416,0.6966214
3,-1.0125,2.120206,0.7055576
4,-1.003042,2.082715,0.6926422
5,-0.9970518,2.045228,0.6726689
6,-0.997446,2.004576,0.6635809
7,-1.005756,1.9655,0.6722796
8,-1.022325,1.934169,0.6959791
9,-1.045661,1.90392,0.7179198
10,-1.072329,1.869818,0.7311978
11,-1.099334,1.832181,0.7393687
12,-1.12438,1.791088,0.7431605
13,-1.150481,1.750382,0.7399776
14,-1.182637,1.713453,0.7354424
15,-1.217853,1.680308,0.7358122
16,-1.250852,1.651791,0.7480474
17,-1.276051,1.62351,0.7711773
18,-1.291472,1.585717,0.7883098
19,-1.298024,1.54205,0.8038387
20,-1.298635,1.498075,0.823211
21,-1.297839,1.453375,0.838325
22,-1.301921,1.409365,0.8473892
23,-1.319017,1.369421,0.8567381
24,-1.345216,1.33598,0.8733826
25,-1.371152,1.30851,0.8983259
26,-1.396134,1.28314,0.9224005
27,-1.413979,1.26529,0.9500351
28,-1.426926,1.253461,0.975184
