Index,PointerPosX,PointerPosY,PointerPosZ
0,-0.4344293,1.699016,0.6698489
1,-0.4659218,1.788537,0.6879897
2,-0.4851295,1.870727,0.6878867
3,-0.491228,1.932857,0.6903863
4,-0.4893925,1.983847,0.69907
5,-0.4885944,2.027627,0.7186503
6,-0.4976619,2.059075,0.7278514
7,-0.5236827,2.073429,0.7220511
8,-0.5580646,2.077994,0.7117124
9,-0.5977712,2.075632,0.6935773
10,-0.6362936,2.057134,0.6800475
11,-0.6633868,2.020609,0.6766336
12,-0.6803957,1.975439,0.6806145
13,-0.6881595,1.927922,0.6827435
14,-0.6879112,1.880818,0.6784976
15,-0.6802267,1.836085,0.6698911
16,-0.6698145,1.794601,0.669446
17,-0.6625398,1.753594,0.6879654
18,-0.6565523,1.706567,0.7069283
19,-0.6565056,1.649832,0.7191691
20,-0.6737216,1.58997,0.7331071
21,-0.7083693,1.530216,0.7504106
22,-0.7467412,1.475678,0.7682765
23,-0.7875265,1.417287,0.7838666
24,-0.8199176,1.366018,0.7952924
25,-0.8406166,1.321414,0.8140974
26,-0.8490938,1.285264,0.8405192
27,-0.8386374,1.260584,0.8671474
28,-0.8077398,1.248525,0.8881953
29,-0.7650269,1.245484,0.9018931
30,-0.7176909,1.247743,0.9065111
31,-0.669663,1.251756,0.9027123
32,-0.6199603,1.254735,0.8999262
33,-0.5720083,1.257567,0.9041686
34,-0.5286475,1.262398,0.9183576
35,-0.4903042,1.26853,0.9324629
36,-0.455274,1.27587,0.9276922
37,-0.4256977,1.288349,0.9044273
38,-0.4076689,1.309433,0.8713572
39,-0.3989451,1.338537,0.8372176
40,-0.3963568,1.37094,0.8040545
41,-0.3946059,1.400247,0.7660339
42,-0.3933228,1.430891,0.7303429
43,-0.3947675,1.470828,0.7061303
44,-0.3996146,1.519184,0.6916819
45,-0.4074603,1.576877,0.6764882
46,-0.4182798,1.63858,0.6611195
47,-0.4310914,1.683049,0.6682935
48,-0.4393454,1.706903,0.6793826
49,-0.4397007,1.712651,0.6827548
