Index,PointerPosX,PointerPosY,PointerPosZ
0,-1.022899,2.271375,0.5857024
1,-1.026303,2.235486,0.6265965
2,-1.028307,2.204458,0.6641405
3,-1.028553,2.169626,0.6924706
4,-1.0255,2.128781,0.7098064
5,-1.018916,2.085158,0.7086396
6,-1.012625,2.04052,0.6954038
7,-1.009135,1.994676,0.6872783
8,-1.01312,1.951908,0.6900289
9,-1.028372,1.912341,0.7014751
10,-1.052762,1.875635,0.7125864
11,-1.083786,1.84209,0.7284544
12,-1.120627,1.811703,0.7446947
13,-1.160039,1.781739,0.7553988
14,-1.19842,1.749487,0.7568777
15,-1.230503,1.713432,0.7527032
16,-1.252097,1.672619,0.7495379
17,-1.26429,1.630621,0.7570965
18,-1.270326,1.58748,0.7745728
19,-1.273196,1.540385,0.7899053
20,-1.272735,1.490815,0.8062007
21,-1.270771,1.440469,0.8258691
22,-1.273463,1.392612,0.8440211
23,-1.28551,1.348033,0.8600023
24,-1.307654,1.309618,0.8795748
25,-1.336253,1.280078,0.9092155
26,-1.367691,1.255939,0.940433
27,-1.39977,1.23621,0.9653347
28,-1.431555,1.221172,0.9797254
29,-1.457589,1.21319,0.9893699
