Index,PointerPosX,PointerPosY,PointerPosZ
0,-1.022712,2.253518,0.5968657
1,-1.022717,2.252279,0.5978663
2,-1.022722,2.251173,0.5988011
3,-1.02284,2.250672,0.5992568
4,-1.022953,2.250032,0.5997493
5,-1.023018,2.249144,0.6003203
6,-1.023079,2.24653,0.6022522
7,-1.023112,2.244488,0.6035295
8,-1.023151,2.237805,0.6074486
9,-1.023149,2.233503,0.6104686
10,-1.023148,2.230559,0.6126678
11,-1.023194,2.225556,0.6181979
12,-1.023337,2.216536,0.6369092
13,-1.023494,2.206247,0.6586201
14,-1.023732,2.190852,0.6886663
15,-1.023721,2.185801,0.6908994
16,-1.023682,2.180862,0.6892226
17,-1.023669,2.174931,0.6903188
18,-1.023687,2.164456,0.6968784
19,-1.023744,2.15544,0.7051015
20,-1.023747,2.150641,0.7089777
21,-1.023739,2.147812,0.7104168
22,-1.022407,2.143543,0.7117863
23,-1.021303,2.138329,0.7140293
24,-1.020653,2.134923,0.7167532
25,-1.020328,2.13303,0.7183375
26,-1.019811,2.129093,0.7204747
27,-1.01948,2.126545,0.721977
28,-1.019146,2.122661,0.7238233
29,-1.01893,2.120179,0.724941
30,-1.01871,2.116384,0.7262411
31,-1.018574,2.113891,0.7273951
32,-1.018479,2.112124,0.7283192
33,-1.018411,2.110778,0.7291803
34,-1.018332,2.107921,0.7309551
35,-1.018263,2.106204,0.7307789
36,-1.01817,2.103345,0.7294028
37,-1.018101,2.101558,0.7278664
38,-1.01802,2.098586,0.7255373
39,-1.017967,2.09665,0.7240152
40,-1.017909,2.093449,0.7222528
41,-1.017876,2.091335,0.7213876
42,-1.017853,2.089839,0.7208726
43,-1.01784,2.08866,0.7208519
44,-1.017824,2.086119,0.7208202
45,-1.017797,2.082504,0.7198477
46,-1.01775,2.078287,0.7170389
47,-1.01772,2.075749,0.7152748
48,-1.016675,2.074147,0.7122078
49,-1.01562,2.071372,0.7088354
50,-1.014655,2.067825,0.7040057
51,-1.013836,2.063729,0.6981926
52,-1.013356,2.061235,0.6951973
53,-1.012886,2.057729,0.6912222
54,-1.012599,2.05549,0.689117
55,-1.012323,2.051877,0.6877422
56,-1.012121,2.046951,0.6891577
57,-1.010774,2.043917,0.6888702
58,-1.009558,2.039953,0.6879816
59,-1.008752,2.038002,0.6839466
60,-1.008217,2.036489,0.6824019
61,-1.007825,2.035378,0.6812491
62,-1.00732,2.033179,0.6781793
63,-1.006842,2.029587,0.6762238
64,-1.006543,2.027271,0.6752682
65,-1.006216,2.023889,0.6727307
66,-1.005886,2.019838,0.6679537
67,-1.005759,2.013958,0.6724362
68,-1.005835,2.009389,0.6838603
69,-1.005749,2.007412,0.6833601
70,-1.00568,2.006037,0.6826398
71,-1.005628,2.005001,0.6820965
72,-1.005564,2.002584,0.6815643
73,-1.004138,1.998856,0.679688
74,-1.003227,1.996716,0.6771679
75,-1.00261,1.995166,0.6760058
76,-1.001902,1.992467,0.6732764
77,-1.001276,1.988397,0.6725717
78,-1.000797,1.98323,0.6744483
79,-1.00055,1.979929,0.6775074
80,-1.000313,1.97815,0.6758795
81,-1.000022,1.975219,0.6723628
82,-0.9994848,1.969528,0.6579614
83,-1.001023,1.962612,0.6590407
84,-1.002213,1.955479,0.6663914
85,-1.004365,1.950721,0.675096
86,-1.006526,1.942408,0.6841226
87,-1.007602,1.938367,0.6859393
88,-1.010128,1.933086,0.6880674
89,-1.011578,1.930039,0.6894946
90,-1.012885,1.925961,0.6909664
91,-1.013986,1.921069,0.6928229
92,-1.016535,1.91512,0.6968565
93,-1.018377,1.909189,0.7010176
94,-1.019723,1.903342,0.7035799
95,-1.02192,1.899513,0.7065403
96,-1.023679,1.895254,0.7057676
97,-1.025048,1.890704,0.7014418
98,-1.026052,1.886236,0.6907272
99,-1.028551,1.880444,0.6887705
100,-1.029953,1.877022,0.6908507
101,-1.031501,1.869742,0.6947072
102,-1.034368,1.862323,0.7042999
103,-1.036265,1.855934,0.7083383
104,-1.037306,1.852456,0.7100027
105,-1.03927,1.849795,0.7115014
106,-1.040999,1.846124,0.7136257
107,-1.04415,1.841145,0.7157381
108,-1.045936,1.838296,0.7174273
109,-1.048635,1.835946,0.7186694
110,-1.050866,1.832726,0.7199259
111,-1.05227,1.830695,0.7206752
112,-1.05469,1.828803,0.7219419
113,-1.056293,1.827513,0.7235293
114,-1.057858,1.825165,0.7251158
115,-1.058918,1.823594,0.7258193
116,-1.061023,1.822039,0.7265534
117,-1.062918,1.819492,0.7268739
118,-1.064166,1.817823,0.7271295
119,-1.065054,1.816619,0.7274709
120,-1.067007,1.815338,0.7276256
121,-1.068799,1.813022,0.7284095
122,-1.071564,1.810993,0.7292175
123,-1.073846,1.808097,0.7294645
124,-1.075299,1.806252,0.7296834
125,-1.078307,1.802688,0.7318814
126,-1.080087,1.800462,0.7351944
127,-1.0813,1.798989,0.7366049
128,-1.082192,1.797963,0.736793
129,-1.08287,1.79718,0.7369359
130,-1.08461,1.796217,0.7374921
131,-1.086264,1.794277,0.7376728
132,-1.088933,1.79247,0.7384748
133,-1.092585,1.79088,0.7390335
134,-1.095315,1.788448,0.7395225
135,-1.099422,1.784516,0.7421088
136,-1.109557,1.780493,0.7476175
137,-1.117531,1.776359,0.7473414
138,-1.127694,1.771133,0.7480154
139,-1.146639,1.764146,0.7495122
140,-1.160249,1.7585,0.7506018
141,-1.171964,1.755354,0.7525251
142,-1.183713,1.751158,0.7550209
143,-1.194882,1.748583,0.7582936
144,-1.203133,1.745285,0.7592421
145,-1.209808,1.743283,0.7598748
146,-1.215862,1.741909,0.7609611
147,-1.222078,1.739245,0.7615438
148,-1.227818,1.737421,0.7626219
149,-1.233411,1.736108,0.7638931
150,-1.23656,1.735375,0.7645447
151,-1.238931,1.733706,0.7651734
152,-1.242367,1.732204,0.7652545
153,-1.244569,1.731253,0.7649419
154,-1.246072,1.730595,0.7650132
155,-1.248831,1.729852,0.7652111
156,-1.25067,1.729364,0.76542
157,-1.252007,1.729006,0.7654436
158,-1.25302,1.728734,0.7654362
159,-1.255672,1.727229,0.7649217
160,-1.259322,1.725858,0.7646563
161,-1.261612,1.724998,0.7644691
162,-1.263199,1.724402,0.7643046
163,-1.26615,1.723744,0.7632945
164,-1.268106,1.723311,0.7627583
165,-1.269462,1.722987,0.7628744
166,-1.270447,1.722745,0.7633591
167,-1.271219,1.722555,0.7637386
168,-1.271837,1.722407,0.7640862
169,-1.272342,1.722278,0.7644119
170,-1.272754,1.722173,0.7648029
171,-1.273103,1.722078,0.7651591
172,-1.273403,1.721999,0.7654662
173,-1.273664,1.721929,0.7657337
174,-1.273895,1.721869,0.7659619
175,-1.274101,1.721816,0.7661552
176,-1.274281,1.721772,0.766355
177,-1.274436,1.721728,0.7665977
178,-1.274576,1.721685,0.7668333
179,-1.274702,1.721649,0.7670469
180,-1.274817,1.721615,0.7672431
181,-1.274922,1.721588,0.7674208
182,-1.275019,1.721561,0.7675848
183,-1.275108,1.721535,0.7677367
184,-1.275191,1.721517,0.767875
185,-1.275268,1.721491,0.7680061
186,-1.275339,1.721473,0.7681272
187,-1.275406,1.721455,0.768239
188,-1.275468,1.721438,0.7683454
189,-1.275527,1.72142,0.7684445
190,-1.275581,1.721403,0.7685375
191,-1.275633,1.721385,0.768626
192,-1.276473,1.720577,0.7702351
193,-1.277121,1.719951,0.771395
194,-1.278264,1.716443,0.7727914
195,-1.280658,1.711674,0.7755399
196,-1.284955,1.703354,0.7769537
197,-1.289993,1.693129,0.7796443
198,-1.292576,1.685955,0.782028
199,-1.29394,1.682277,0.7828941
200,-1.295127,1.67784,0.783164
201,-1.296093,1.672886,0.7831879
202,-1.296595,1.670004,0.783766
203,-1.296904,1.668087,0.7843571
204,-1.297124,1.666718,0.7847998
205,-1.297336,1.664042,0.7857397
206,-1.297463,1.662242,0.7865238
207,-1.297495,1.660948,0.7876153
208,-1.297519,1.659963,0.7884414
209,-1.298463,1.657487,0.7911427
210,-1.299131,1.655829,0.7926271
211,-1.299671,1.653001,0.7956293
212,-1.30001,1.651139,0.7977488
213,-1.300454,1.648014,0.7992082
214,-1.300794,1.645971,0.799716
215,-1.301075,1.64452,0.7997363
216,-1.301378,1.641765,0.7999504
217,-1.301633,1.639901,0.7996564
218,-1.302827,1.638285,0.798738
219,-1.303738,1.637106,0.7976286
220,-1.304792,1.634734,0.7962892
221,-1.305407,1.633137,0.7962866
222,-1.305853,1.631969,0.796324
223,-1.307686,1.629172,0.7959247
224,-1.308948,1.62734,0.7950437
225,-1.309843,1.626037,0.7943912
226,-1.31052,1.625065,0.7938342
227,-1.311036,1.624319,0.7934825
228,-1.311715,1.622409,0.7930536
229,-1.312201,1.621049,0.7927475
230,-1.312734,1.618411,0.7926769
231,-1.313087,1.616626,0.7926941
232,-1.313343,1.61533,0.7927065
233,-1.313549,1.614342,0.7926214
234,-1.313856,1.612058,0.7922168
235,-1.314064,1.610465,0.7919879
236,-1.314193,1.609295,0.7920184
237,-1.314293,1.608387,0.7920418
238,-1.314444,1.6062,0.791944
239,-1.314552,1.604656,0.7918663
240,-1.314668,1.601799,0.7918429
241,-1.314706,1.599902,0.7921507
242,-1.314754,1.596708,0.7924223
243,-1.31582,1.594432,0.792562
244,-1.3166,1.592849,0.7922511
245,-1.317427,1.590036,0.7920871
246,-1.317973,1.588163,0.792026
247,-1.318564,1.585029,0.7918639
248,-1.31892,1.582991,0.7920098
249,-1.319178,1.581545,0.7920647
250,-1.320264,1.580199,0.7922454
251,-1.321805,1.575513,0.7921736
252,-1.322709,1.572766,0.79216
253,-1.323327,1.570921,0.7920196
254,-1.323774,1.569592,0.7919052
255,-1.324104,1.568595,0.7918692
256,-1.32452,1.56634,0.7919059
257,-1.324831,1.562913,0.7927983
258,-1.324914,1.558675,0.7950974
259,-1.324549,1.551229,0.8009171
260,-1.324372,1.54744,0.8038006
261,-1.323925,1.543085,0.8085635
262,-1.32184,1.53641,0.8261695
263,-1.321025,1.530303,0.833343
264,-1.32088,1.526862,0.8348868
265,-1.320843,1.522491,0.8355329
266,-1.320939,1.519778,0.8349962
267,-1.321108,1.515894,0.8338692
268,-1.321234,1.513453,0.8330092
269,-1.321315,1.509844,0.832504
270,-1.321135,1.507725,0.8339984
271,-1.320884,1.506338,0.8360264
272,-1.320176,1.504009,0.8416538
273,-1.319667,1.502494,0.8456879
274,-1.319524,1.501242,0.8468456
275,-1.319439,1.500282,0.8475356
276,-1.319355,1.499544,0.8482156
277,-1.319215,1.49761,0.849334
278,-1.31881,1.492209,0.8525507
279,-1.318595,1.489181,0.8542573
280,-1.318404,1.485182,0.855773
281,-1.318196,1.480589,0.8574238
282,-1.318018,1.477937,0.8588271
283,-1.317895,1.476173,0.8597989
284,-1.317567,1.470934,0.8623865
285,-1.3174,1.467967,0.8636935
286,-1.317215,1.466103,0.8651521
287,-1.316792,1.46323,0.8684797
288,-1.316508,1.459313,0.8707113
289,-1.316367,1.456903,0.8718209
290,-1.316126,1.453477,0.8737118
291,-1.315994,1.451299,0.8747447
292,-1.315856,1.445483,0.8758328
293,-1.316335,1.441728,0.8720684
294,-1.317064,1.436792,0.8663468
295,-1.318904,1.430128,0.8519046
296,-1.318881,1.42499,0.8520858
297,-1.318914,1.419613,0.8518279
298,-1.318984,1.414096,0.8512785
299,-1.318876,1.408715,0.8521247
300,-1.318463,1.403655,0.8553672
301,-1.318099,1.398547,0.8582215
302,-1.318268,1.392829,0.8569
303,-1.318424,1.38953,0.8556719
304,-1.318581,1.385238,0.8544397
305,-1.320472,1.377321,0.8530424
306,-1.321265,1.373524,0.8535893
307,-1.321833,1.369146,0.854749
308,-1.322385,1.366274,0.8537712
309,-1.322849,1.362415,0.8532989
310,-1.323074,1.360082,0.8535044
311,-1.323149,1.358583,0.8542576
312,-1.323195,1.355866,0.8553984
313,-1.324214,1.353868,0.8562729
314,-1.32536,1.350568,0.8558605
315,-1.326078,1.348474,0.8557134
316,-1.326779,1.34525,0.8557565
317,-1.328402,1.342808,0.8555851
318,-1.329466,1.341209,0.8555598
319,-1.330544,1.338503,0.8556633
320,-1.332881,1.334549,0.856673
321,-1.334657,1.330178,0.8573875
322,-1.335616,1.327727,0.8584032
323,-1.336176,1.326199,0.8596337
