Index,PointerPosX,PointerPosY,PointerPosZ
0,-1.010991,1.984035,0.6905637
1,-1.007719,1.919198,0.6901531
2,-1.004794,1.860142,0.6957505
3,-1.003899,1.804646,0.7008126
4,-1.006894,1.752505,0.7050045
5,-1.013855,1.702531,0.7086804
6,-1.023378,1.655031,0.7177951
7,-1.03717,1.606093,0.7312214
8,-1.057366,1.554303,0.7432091
9,-1.082174,1.505446,0.7498527
10,-1.108853,1.461295,0.7593467
11,-1.134173,1.422249,0.7759914
12,-1.154192,1.381731,0.7894485
13,-1.164676,1.33501,0.7987785
14,-1.167526,1.286883,0.8119187
15,-1.168151,1.247499,0.8348801
16,-1.170095,1.219456,0.8666663
