Index,PointerPosX,PointerPosY,PointerPosZ
0,-0.4599639,1.718273,0.6827674
1,-0.4598283,1.718482,0.6831055
2,-0.4596781,1.71859,0.6833179
3,-0.4609358,1.720106,0.6847394
4,-0.4623771,1.722486,0.6873884
5,-0.4635337,1.725598,0.689651
6,-0.4638208,1.729245,0.6892698
7,-0.463818,1.731195,0.6886568
8,-0.4648136,1.734418,0.6868842
9,-0.4673715,1.74135,0.68385
10,-0.4699876,1.747007,0.6863923
11,-0.4718839,1.752358,0.688663
12,-0.4760174,1.760827,0.6929488
13,-0.4784771,1.767477,0.6956191
14,-0.4808801,1.773319,0.7006574
15,-0.4867456,1.786278,0.7099869
16,-0.4912156,1.802745,0.7081099
17,-0.4920039,1.811163,0.703651
18,-0.4922219,1.818122,0.6997941
19,-0.4924346,1.821754,0.6982121
20,-0.4942039,1.829547,0.6952748
21,-0.4947732,1.833559,0.6924243
22,-0.4949906,1.838388,0.6889672
23,-0.4952697,1.843674,0.6866822
24,-0.495801,1.849783,0.6855752
25,-0.4961947,1.855005,0.6856408
26,-0.4962271,1.858106,0.6848478
27,-0.4964005,1.862305,0.684711
28,-0.4966193,1.86487,0.685096
29,-0.4967769,1.868705,0.6852305
30,-0.4968095,1.871148,0.6850324
31,-0.4968533,1.87284,0.6849828
32,-0.4968759,1.874092,0.6849065
33,-0.4968933,1.875059,0.6848478
34,-0.4967266,1.877429,0.6839623
35,-0.4965492,1.879119,0.6830881
36,-0.4964195,1.88037,0.6824455
37,-0.4963225,1.881342,0.6819634
38,-0.4962457,1.882114,0.6815808
39,-0.4950551,1.8844,0.6808343
40,-0.4939809,1.887882,0.680547
41,-0.493356,1.890096,0.6806378
42,-0.4913023,1.893949,0.6807981
43,-0.4900448,1.896312,0.6809053
44,-0.4891899,1.897923,0.680995
45,-0.4873558,1.899478,0.6812444
46,-0.4857024,1.902084,0.6817141
47,-0.4832761,1.904221,0.6829126
48,-0.4796424,1.907753,0.6853266
49,-0.4766888,1.911845,0.6854877
50,-0.4750043,1.914243,0.6858268
51,-0.4725529,1.916237,0.6870186
52,-0.4705756,1.919136,0.6882353
53,-0.4691918,1.921026,0.6884935
54,-0.4662585,1.924569,0.6889772
55,-0.464649,1.926635,0.6898928
56,-0.4636369,1.92801,0.6908069
57,-0.462968,1.92898,0.6917236
58,-0.4606484,1.933576,0.6947203
59,-0.4572577,1.936864,0.6952615
60,-0.4533541,1.9411,0.6984324
61,-0.4501404,1.945691,0.6982684
62,-0.4441595,1.954384,0.6944637
63,-0.4409353,1.961099,0.6933708
64,-0.4353515,1.968103,0.6960313
65,-0.4315795,1.976789,0.6979122
66,-0.4299409,1.983349,0.7011514
67,-0.4282379,1.98964,0.7010455
68,-0.4241164,1.999513,0.6986971
69,-0.4230806,2.006352,0.7023604
70,-0.4223282,2.012559,0.7045426
71,-0.4219498,2.021538,0.707345
72,-0.420469,2.026071,0.7094784
73,-0.419168,2.031106,0.7104559
74,-0.4181904,2.03642,0.7112207
75,-0.4227369,2.039144,0.7310467
76,-0.4266056,2.045373,0.7480617
77,-0.4267641,2.049365,0.7500775
78,-0.4265016,2.05719,0.7505875
79,-0.4262359,2.061265,0.7503712
80,-0.4259046,2.066162,0.7497985
81,-0.4257731,2.071429,0.7498214
82,-0.4255121,2.077049,0.7492566
83,-0.4251132,2.080411,0.7480268
84,-0.4245368,2.082814,0.7460768
85,-0.4230654,2.087069,0.7408876
86,-0.4205036,2.095837,0.7317588
87,-0.4182507,2.103757,0.7236981
88,-0.4176846,2.107683,0.7217078
89,-0.4164764,2.112985,0.7173781
90,-0.409759,2.120071,0.6930301
91,-0.4086477,2.122672,0.6890194
92,-0.4078528,2.124562,0.6861506
93,-0.4074833,2.125851,0.6848223
94,-0.4071938,2.12686,0.6837826
95,-0.4069629,2.127681,0.6829524
96,-0.4067869,2.128344,0.6823211
97,-0.406637,2.12891,0.6817818
98,-0.4065069,2.130647,0.6813202
99,-0.4063569,2.133788,0.6807873
100,-0.4059944,2.138231,0.679482
101,-0.4058913,2.143274,0.6791172
102,-0.4058621,2.146251,0.6790154
103,-0.4061406,2.153006,0.6800342
104,-0.4062611,2.159372,0.6804757
105,-0.4058976,2.163196,0.679158
106,-0.407865,2.17071,0.6798332
107,-0.4099538,2.176728,0.6831751
108,-0.4114177,2.182539,0.6855307
109,-0.4133812,2.189193,0.6843529
110,-0.4150087,2.198642,0.6833155
111,-0.4173818,2.203638,0.6827638
112,-0.4190025,2.209002,0.6817873
113,-0.4202989,2.214525,0.6813211
114,-0.4234113,2.220279,0.6825018
115,-0.4247311,2.226575,0.6801569
116,-0.4285268,2.232306,0.682327
117,-0.4309289,2.235082,0.6848567
118,-0.4323695,2.23691,0.686141
119,-0.4335338,2.240193,0.6864073
120,-0.4340459,2.242517,0.6856704
121,-0.4373035,2.247669,0.6825318
122,-0.4388288,2.250848,0.6795549
123,-0.4396694,2.25307,0.6770177
124,-0.4418232,2.257288,0.6731422
125,-0.4427356,2.262669,0.6671832
126,-0.4434402,2.270727,0.6550822
127,-0.4475815,2.277213,0.6452913
128,-0.4505394,2.282398,0.6408417
129,-0.4543753,2.285896,0.6385293
130,-0.4566361,2.287945,0.6371908
131,-0.4579656,2.289493,0.6355839
132,-0.4607468,2.292949,0.6327944
133,-0.4641011,2.296005,0.6293497
134,-0.4680976,2.298612,0.6259484
135,-0.470722,2.299901,0.6249568
136,-0.4729493,2.302034,0.6245029
137,-0.4760847,2.304128,0.623414
138,-0.4802145,2.305876,0.6226287
139,-0.4827632,2.306921,0.622257
140,-0.486328,2.308143,0.6210101
141,-0.4938776,2.30936,0.6201034
142,-0.5010673,2.309685,0.6214082
143,-0.5087989,2.30877,0.6268599
144,-0.5134935,2.307797,0.6317468
145,-0.5249721,2.303628,0.649348
146,-0.5329655,2.302402,0.6549728
147,-0.539865,2.301949,0.6572967
148,-0.5479296,2.303776,0.6505384
149,-0.5534729,2.306323,0.6407537
150,-0.5584995,2.308582,0.6320398
151,-0.5614681,2.309559,0.6282821
152,-0.5682267,2.310801,0.6234858
153,-0.5751772,2.310752,0.623749
154,-0.5849668,2.310876,0.6233306
155,-0.6000289,2.311377,0.6214223
156,-0.6061029,2.311485,0.6209967
157,-0.6096157,2.311429,0.6212192
158,-0.6142356,2.311347,0.6215792
159,-0.6170713,2.311278,0.6218491
160,-0.6211699,2.311213,0.6221104
161,-0.6237557,2.311162,0.6223116
162,-0.6255354,2.311144,0.6223788
163,-0.6268343,2.311151,0.6223545
164,-0.6278352,2.311163,0.6223407
165,-0.6303211,2.310183,0.6217661
166,-0.6320447,2.309473,0.6215615
167,-0.6352074,2.308552,0.6219406
168,-0.6374032,2.307789,0.6227732
169,-0.6415607,2.305205,0.6251199
170,-0.6464333,2.303064,0.6270518
171,-0.649381,2.301762,0.6283112
172,-0.6513197,2.300957,0.6288562
173,-0.6550139,2.298625,0.6295071
174,-0.6572908,2.297218,0.629746
175,-0.6588563,2.296254,0.62988
176,-0.6600063,2.295551,0.6299806
177,-0.6612473,2.293819,0.6299644
178,-0.6621369,2.292589,0.6299648
179,-0.6627665,2.29171,0.6297162
180,-0.6634235,2.289802,0.6286445
181,-0.6637754,2.288626,0.6272006
182,-0.6639407,2.287887,0.6255155
183,-0.664095,2.287278,0.6243677
184,-0.6641665,2.283669,0.620852
185,-0.6657494,2.262103,0.6246772
186,-0.672484,2.22389,0.6414731
187,-0.6815289,2.177268,0.6634369
188,-0.6902376,2.131642,0.6819315
189,-0.6955464,2.109926,0.6872799
190,-0.7005982,2.091146,0.6877992
191,-0.7025115,2.08154,0.6867008
192,-0.7035903,2.07679,0.6873255
193,-0.7062075,2.071026,0.688648
194,-0.7078176,2.06561,0.687691
195,-0.7089419,2.060131,0.6865344
196,-0.7097194,2.054564,0.6852801
197,-0.7118023,2.048731,0.6830893
198,-0.7129716,2.045501,0.6820769
199,-0.7141216,2.04117,0.6820695
200,-0.7150736,2.036169,0.6821594
201,-0.7158198,2.030739,0.682236
202,-0.7161492,2.027693,0.6815579
203,-0.7163292,2.023644,0.6800478
204,-0.7164031,2.018884,0.6782417
205,-0.7164909,2.01601,0.6774774
206,-0.7164653,2.009302,0.6756301
207,-0.7165416,2.005588,0.6752739
208,-0.7164836,2.001039,0.6740704
209,-0.716205,1.996071,0.6714649
210,-0.7159312,1.990734,0.6690316
211,-0.7157904,1.985079,0.6676631
212,-0.7155966,1.979354,0.6660099
213,-0.7154896,1.973481,0.6650434
214,-0.7156469,1.967371,0.6660051
215,-0.7159132,1.96117,0.6677756
216,-0.7161914,1.954956,0.6696634
217,-0.7163961,1.948796,0.6710503
218,-0.7169067,1.942432,0.6746223
219,-0.7171759,1.936235,0.6764936
220,-0.717284,1.932777,0.6772406
